Phase,Phase Name,Step,Step Title,Owner,Validator,Depends On,Acceptance,Feature Flag,Status,% Complete,Exposure Cohort,Validator Sign-off,Gap Report,Deployed Version,Deploy Date,Task ID,Last Updated,Notes/Blockers
P0,Console scaffold,0.1,pg db.js + ordered migrations,builder,reviewer,,schema console created; migration vN recorded,CONSOLE_CORE,todo,0,internal,,,,,T-AZLC-P0-1,2026-07-02,Postgres not SQLite (owner)
P0,Console scaffold,0.2,auth.js admin-key + operators (scrypt + session),builder,reviewer,0.1,admin key creates operator; requireAuth on /api,CONSOLE_CORE,todo,0,internal,,,,,T-AZLC-P0-2,2026-07-02,
P0,Console scaffold,0.3,server.js express + static site + /api/health,builder,reviewer,0.1,health returns real metrics (db rw/migration/disk),CONSOLE_CORE,todo,0,internal,,,,,T-AZLC-P0-3,2026-07-02,
P0,Console scaffold,0.4,Dockerfile + k8s Deployment/Service/Ingress/Secret,deployer,reviewer,0.3,pod boots on luca-capacity; site pages render,CONSOLE_CORE,todo,0,internal,,,,,T-AZLC-P0-4,2026-07-02,
P1,Dispatch + one-phase,1.1,worker-agent enroll (token->mTLS) + heartbeat,integrator,tester,0.4,worker registers; last_seen_at updates,CONSOLE_DISPATCH,todo,0,internal,,,,,T-AZLC-P1-1,2026-07-02,
P1,Dispatch + one-phase,1.2,dispatch.js job send + SSE log/state ingest,integrator,tester,1.1,job runs on worker; lines stream to console,CONSOLE_DISPATCH,todo,0,internal,,,,,T-AZLC-P1-2,2026-07-02,
P1,Dispatch + one-phase,1.3,engine adapter on worker (spawn/redact/exit->state),integrator,reviewer,1.2,exit code maps to step state; secrets redacted,CONSOLE_DISPATCH,todo,0,internal,,,,,T-AZLC-P1-3,2026-07-02,
P1,Dispatch + one-phase,1.4,Phase-1 inventory (rf_* fan-out) + servers table,builder,tester,1.3,real iDRAC inventory populates model/serial/health,CONSOLE_DISPATCH,todo,0,internal,,,,,T-AZLC-P1-4,2026-07-02,
P1,Dispatch + one-phase,1.5,events.js + SSE (pg LISTEN/NOTIFY) to browser,builder,tester,1.2,live log pane updates; resume via Last-Event-ID,CONSOLE_DISPATCH,todo,0,internal,,,,,T-AZLC-P1-5,2026-07-02,
P2,State machine + gates,2.1,runner.js phase/step sequencing + scheduler + server locks,builder,tester,1.4,one active run per server enforced,CONSOLE_RUNS,todo,0,internal,,,,,T-AZLC-P2-1,2026-07-02,
P2,State machine + gates,2.2,gates (awaiting-approval / approve / reject),builder,tester,2.1,run pauses at gate; approve advances; reject fails,CONSOLE_RUNS,todo,0,internal,,,,,T-AZLC-P2-2,2026-07-02,
P2,State machine + gates,2.3,halt (kill proc group) + retry (resume at failed step),integrator,tester,2.2,halt stops stage+holds; retry resumes at failure,CONSOLE_RUNS,todo,0,internal,,,,,T-AZLC-P2-3,2026-07-02,
P2,State machine + gates,2.4,Phase-2 destructive path behind before_destructive gate,builder,tester,2.3,wipe gates; nodes re-image build-gated; wim verify,CONSOLE_RUNS,todo,0,internal,,,,,T-AZLC-P2-4,2026-07-02,
P3,Phases 3-5 + heals,3.1,Phase-3 Azure prep + KV 3 secrets + permissions + Arc,integrator,reviewer,2.4,both nodes Connected + 4 extensions; secrets not logged,CONSOLE_DEPLOY,todo,0,internal,,,,,T-AZLC-P3-1,2026-07-02,
P3,Phases 3-5 + heals,3.2,Phase-4 Validate + track + verbatim RP error,integrator,tester,3.1,Validate result shown verbatim; ext-sync heal offered,CONSOLE_DEPLOY,todo,0,internal,,,,,T-AZLC-P3-2,2026-07-02,
P3,Phases 3-5 + heals,3.3,Phase-5 Deploy + live track-deployment progress,integrator,tester,3.2,ECE progress renders; RP failures verbatim,CONSOLE_DEPLOY,todo,0,internal,,,,,T-AZLC-P3-3,2026-07-02,
P3,Phases 3-5 + heals,3.4,heal.js (ext-sync / erase-unstick / az-relogin),builder,tester,3.2,ext drift auto-heals; wedged erase recovers,CONSOLE_DEPLOY,todo,0,internal,,,,,T-AZLC-P3-4,2026-07-02,
P4,Provisioning + billing,4.1,billing.js Stripe checkout + webhook -> order+run,integrator,reviewer,0.4,paid webhook creates order+run; signature verified,CONSOLE_BILLING,todo,0,internal,,,,,T-AZLC-P4-1,2026-07-02,
P4,Provisioning + billing,4.2,provision.js spin worker from golden image + destroy,integrator,tester,4.1,worker provisioned+enrolled=ready; destroyed on hand-off,CONSOLE_BILLING,todo,0,internal,,,,,T-AZLC-P4-2,2026-07-02,
P4,Provisioning + billing,4.3,stage-worker.ps1 golden image build + boot test,deployer,tester,,image staged (prestage.json) + booted worker enrolls,CONSOLE_BILLING,todo,0,internal,,,,,T-AZLC-P4-3,2026-07-02,
P5,Admin UI + parallel,5.1,admin board (parallel run cards + phase timeline),builder,reviewer,2.2,3 runs at different phases visible,CONSOLE_ADMIN,todo,0,internal,,,,,T-AZLC-P5-1,2026-07-02,
P5,Admin UI + parallel,5.2,gate UX (approve/deny) + halt/retry/skip + live logs,builder,tester,5.1,operator drives gates+halt+retry from board,CONSOLE_ADMIN,todo,0,internal,,,,,T-AZLC-P5-2,2026-07-02,
P5,Admin UI + parallel,5.3,iDRAC console screenshots + monitoring dashboard,builder,tester,3.3,rf_screenshot renders; post-deploy health shown,CONSOLE_ADMIN,todo,0,internal,,,,,T-AZLC-P5-3,2026-07-02,
P5,Admin UI + parallel,5.4,RBAC roles + audit log (actor+reason on approve/skip/halt),builder,reviewer,5.2,every gate action recorded with actor,CONSOLE_ADMIN,todo,0,internal,,,,,T-AZLC-P5-4,2026-07-02,
E2E,Acceptance,6.1,build a real 2-node cluster end-to-end from the console,tester,architect,5.4,cluster reaches Succeeded (or halts verbatim on MSFT gate),,todo,0,pilot,,,,,T-AZLC-E2E,2026-07-02,uses rg-flt4x02 nodes app02/app01a
E2E,Acceptance,6.2,change-mgmt + release-tracker + acr build + deploy + verify,deployer,architect,6.1,live on console.azurestack.nyc; tracker updated,,todo,0,pilot,,,,,T-AZLC-REL,2026-07-02,